Title,Director,Writer,imdbID,Bechdel Score,dubious,year submitted,decade,Rated,imdbVotes,imdbRating,Genre
"Adventures of Milo and Otis, The",Masanori Hata,"Masanori Hata, Mark Saltzman",97050,1,0.0,2012,1980,G,12464,6.9,"Adventure, Drama, Family"
Field of Dreams,Phil Alden Robinson,"W.P. Kinsella, Phil Alden Robinson",97351,2,0.0,2016,1980,PG,124863,7.5,"Drama, Family, Fantasy"
Loverboy,Joan Micklin Silver,"Robin Schiff, Tom Ropelewski, Leslie Dixon",97790,3,1.0,2016,1980,PG-13,8579,6,Comedy
Majo no takky&ucirc;bin (Kiki&#39;s Delivery Service),Hayao Miyazaki,"Eiko Kadono, Hayao Miyazaki",97814,3,0.0,2010,1980,G,156601,7.8,"Animation, Family, Fantasy"
Mystery Train,Jim Jarmusch,Jim Jarmusch,97940,3,0.0,2009,1980,R,30102,7.5,"Comedy, Crime, Drama"
UHF,Jay Levey,"'Weird Al' Yankovic, Jay Levey, Charles Holloway",98546,1,0.0,2013,1980,PG-13,30558,6.9,"Comedy, Sci-Fi"
Flatliners,Joel Schumacher,Peter Filardi,99582,3,0.0,2011,1990,R,91146,6.5,"Drama, Horror, Sci-Fi"
Home Alone,Chris Columbus,John Hughes,99785,3,0.0,2009,1990,PG,613483,7.7,"Comedy, Family"
It,N/A,N/A,99864,1,0.0,2009,1990,TV-14,136667,6.8,"Drama, Horror, Mystery"
Mindwalk,Bernt Amadeus Capra,"Bernt Amadeus Capra, Floyd Byars, Fritjof Capra",100151,3,0.0,2010,1990,PG,3203,7.6,Drama
An American Tail: Fievel Goes West,"Phil Nibbelink, Simon Wells","David Kirschner, Charles Swenson, Flint Dille",101329,3,0.0,2011,1990,G,27671,6.5,"Animation, Adventure, Family"
"Commitments, The",Alan Parker,"Roddy Doyle, Dick Clement, Ian La Frenais",101605,3,0.0,2022,1990,R,37530,7.6,"Comedy, Drama, Music"
Double Impact,Sheldon Lettich,"Sheldon Lettich, Jean-Claude Van Damme, Steve Meerson",101764,1,0.0,2021,1990,R,42962,5.6,"Action, Crime"
Flirting,John Duigan,John Duigan,101898,2,0.0,2010,1990,R,6304,7.1,"Drama, Romance"
Nekromantik 2,Jörg Buttgereit,"Jörg Buttgereit, Franz Rodenkirchen",102522,1,0.0,2015,1990,Not Rated,4016,5.2,Horror
Slacker,Richard Linklater,Richard Linklater,102943,3,0.0,2010,1990,R,22942,7,"Comedy, Drama"
Star Trek VI: The Undiscovered Country,Nicholas Meyer,"Gene Roddenberry, Leonard Nimoy, Lawrence Konner",102975,2,1.0,2012,1990,PG,79513,7.2,"Action, Adventure, Sci-Fi"
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Michael Pressman,"Kevin Eastman, Peter Laird, Todd W. Langen",103060,3,0.0,2011,1990,PG,59920,6,"Action, Adventure, Comedy"
Toy Soldiers,Daniel Petrie Jr.,"William P. Kennedy, Daniel Petrie Jr., David Koepp",103112,0,0.0,2010,1990,R,24191,6.6,"Action, Drama, Thriller"
Hero,Stephen Frears,"Laura Ziskin, Alvin Sargent, David Webb Peoples",104412,1,0.0,2013,1990,PG-13,23250,6.5,"Comedy, Drama, Romance"
A League of Their Own,Penny Marshall,"Kim Wilson, Kelly Candaele, Lowell Ganz",104694,3,0.0,2009,1990,PG,117655,7.3,"Comedy, Drama, Sport"
"Muppet Christmas Carol, The",Brian Henson,"Charles Dickens, Jerry Juhl",104940,3,0.0,2010,1990,G,64893,7.7,"Comedy, Drama, Family"
Singles,Cameron Crowe,Cameron Crowe,105415,2,0.0,2015,1990,PG-13,31983,6.7,"Comedy, Drama, Music"
Toys,Barry Levinson,"Valerie Curtin, Barry Levinson",105629,3,0.0,2010,1990,PG-13,33108,5.1,"Adventure, Comedy, Drama"
Dragon: The Bruce Lee Story,Rob Cohen,"Robert Clouse, Linda Lee Cadwell, Edward Khmara",106770,3,0.0,2014,1990,PG-13,32309,7,"Action, Biography, Drama"
"Wedding Banquet, The",Ang Lee,"Ang Lee, Neil Peng, James Schamus",107156,3,0.0,2010,1990,R,16677,7.6,"Comedy, Drama, Romance"
A perfect world,Clint Eastwood,John Lee Hancock,107808,1,0.0,2017,1990,PG-13,85068,7.5,"Crime, Drama, Thriller"
Ruby in Paradise,Victor Nunez,"Jane Austen, Victor Nunez",108000,3,0.0,2010,1990,R,3203,6.9,"Drama, Romance"
Tombstone,"George P. Cosmatos, Kevin Jarre",Kevin Jarre,108358,3,0.0,2012,1990,R,160481,7.8,"Biography, Drama, History"
Vive L&#39;Amour,Ming-liang Tsai,"Ming-liang Tsai, Yi-chun Tsai, Pi-ying Yang",109066,0,0.0,2019,1990,R,4590,7.4,"Drama, Romance"
Revenge of the Musketeers,Bertrand Tavernier,"Michel Léviant, Jean Cosmos, Riccardo Freda",109798,3,0.0,2021,1990,R,3525,5.8,"Action, Adventure, Comedy"
Kan du vissla Johanna?,Rumle Hammerich,Ulf Stark,110236,0,0.0,2017,1990,N/A,1992,6.7,Family
Bad Boys,Michael Bay,"George Gallo, Michael Barrie, Jim Mulholland",112442,1,0.0,2022,1990,R,279034,6.8,"Action, Comedy, Crime"
Party Girl,Daisy von Scherler Mayer,"Harry Birckmayer, Daisy von Scherler Mayer, Sheila Gaffney",114095,3,0.0,2016,1990,R,6111,6.5,"Comedy, Drama, Romance"
"To Wong Foo, Thanks for Everything! Julie Newmar",Beeban Kidron,Douglas Carter Beane,114682,3,0.0,2011,1990,PG-13,35331,6.7,"Comedy, Drama"
Tommy Boy,Peter Segal,"Bonnie Turner, Terry Turner",114694,3,0.0,2017,1990,PG-13,94558,7.1,"Adventure, Comedy"
Beautiful Girls,Ted Demme,Scott Rosenberg,115639,3,0.0,2012,1990,R,34247,7.1,"Comedy, Drama, Romance"
Brassed Off,Mark Herman,Mark Herman,115744,3,0.0,2012,1990,R,20656,7.2,"Comedy, Drama, Music"
Kids Return,Takeshi Kitano,Takeshi Kitano,116767,3,1.0,2012,1990,N/A,6608,7.4,"Crime, Drama, Sport"
Tenchi Muy&ocirc;! In Love,Hiroshi Negishi,"Masaki Kajishima, Hiroshi Negishi, Ryôe Tsukimura",117876,3,0.0,2014,1990,PG-13,1470,7.1,"Animation, Adventure, Comedy"
Cop Land,James Mangold,James Mangold,118887,0,1.0,2020,1990,R,102161,7,"Crime, Drama, Thriller"
Donnie Brasco,Mike Newell,"Joseph D. Pistone, Richard Woodley, Paul Attanasio",119008,1,0.0,2017,1990,R,323605,7.7,"Biography, Crime, Drama"
Gummo,Harmony Korine,Harmony Korine,119237,3,0.0,2019,1990,R,37326,6.6,"Comedy, Drama"
Hurlyburly,Anthony Drazan,David Rabe,119336,1,0.0,2014,1990,R,10350,5.8,"Comedy, Drama"
"Postman, The",Kevin Costner,"David Brin, Eric Roth, Brian Helgeland",119925,1,0.0,2010,1990,R,76905,6.1,"Action, Adventure, Drama"
Seven Years in Tibet,Jean-Jacques Annaud,"Heinrich Harrer, Becky Johnston",120102,1,0.0,2017,1990,PG-13,151815,7.1,"Adventure, Biography, Drama"
"Lion King 2: Simba&#39;s Pride, The","Darrell Rooney, Rob LaDuca(co-director)","Flip Kobler (screenplay), Cindy Marcus (screenplay), Jenny Wingfield (additional written material), Linda Voorhees (additional written material), Gregory Poirier (additional written material), Bill Motz (additional written material), Bob Roth (additional written material), Mark McCorkle (additional written material), Bob Schooley (additional written material), Jonathan Cuba (additional written material)",120131,3,0.0,2012,1990,G,62267,6.5,"Animation, Adventure, Drama, Family, Musical, Romance"
Virus,John Bruno,"Chuck Pfarrer, Dennis Feldman",120458,3,1.0,2012,1990,R,29349,5,"Action, Horror, Sci-Fi"
54,Mark Christopher,Mark Christopher,120577,1,0.0,2010,1990,R,34124,5.9,"Drama, Music"
Blade,Stephen Norrington,David S. Goyer,120611,1,0.0,2008,1990,R,290633,7.1,"Action, Horror, Sci-Fi"
"Mummy, The",Stephen Sommers,"Stephen Sommers, Lloyd Fonvielle, Kevin Jarre",120616,1,1.0,2011,1990,PG-13,450891,7.1,"Action, Adventure, Fantasy"
Stepmom,Chris Columbus,"Gigi Levangie, Jessie Nelson, Steven Rogers",120686,3,0.0,2010,1990,PG-13,72727,6.8,"Comedy, Drama"
"Red Violin, The",François Girard,"Don McKellar, François Girard",120802,3,0.0,2010,1990,R,34097,7.6,"Drama, Music, Mystery"
Pat and Margaret,Gavin Millar,Victoria Wood,124829,3,0.0,2010,1990,N/A,339,7.9,"Comedy, Crime, Drama"
Open Your Eyes,Alejandro Amenábar,"Alejandro Amenábar, Mateo Gil",125659,1,0.0,2016,1990,R,72126,7.7,"Drama, Mystery, Sci-Fi"
"Sticky Fingers of Time, The",Hilary Brougher,Hilary Brougher,127302,3,0.0,2016,1990,N/A,478,6.1,Sci-Fi
"Devilish Tenant, The",Georges Méliès,N/A,127948,0,0.0,2014,1900,N/A,1912,7.2,"Short, Comedy"
Cinderella,Robert Iscove,"Oscar Hammerstein II, Robert L. Freedman, Charles Perrault",128996,3,0.0,2010,1990,G,9380,6.7,"Family, Fantasy, Musical"
There&#39;s Something About Mary,"Bobby Farrelly, Peter Farrelly","Ed Decter, John J. Strauss, Peter Farrelly",129387,3,0.0,2014,1990,R,322810,7.1,"Comedy, Romance"
Run Lola Run,Tom Tykwer,Tom Tykwer,130827,3,0.0,2011,1990,R,204063,7.7,"Action, Crime, Thriller"
EdTV,Ron Howard,"Émile Gaudreault, Sylvie Bouchard, Lowell Ganz",131369,1,0.0,2014,1990,PG-13,44527,6.1,"Comedy, Drama"
Tower of Terror,D.J. MacHale,D.J. MacHale,131620,3,0.0,2015,1990,UNRATED,2717,6.2,"Horror, Thriller, Comedy"
Wing Commander,Chris Roberts,"Chris Roberts, Kevin Droney",131646,2,0.0,2013,1990,PG-13,17212,4.3,"Action, Adventure, Sci-Fi"
Asterix and Obelix vs. Caesar,Claude Zidi,"René Goscinny, Albert Uderzo, Claude Zidi",133385,1,0.0,2016,1990,Not Rated,44484,6,"Adventure, Comedy, Family"
Supernova,"Walter Hill, Francis Ford Coppola, Jack Sholder","William Malone, Daniel Chuba, David C. Wilson",134983,3,1.0,2015,2000,PG-13,18921,4.8,"Horror, Sci-Fi, Thriller"
Message in a Bottle,Luis Mandoki,"Nicholas Sparks, Gerald Di Pego",139462,1,0.0,2017,1990,PG-13,39843,6.2,"Drama, Romance"
Little Voice,Mark Herman,"Jim Cartwright, Mark Herman",147004,3,0.0,2009,1990,R,16999,7,"Comedy, Drama, Music"
Annabelle Serpentine Dance,"William K.L. Dickson, William Heise",N/A,154152,0,0.0,2021,1890,Not Rated,2322,6.5,"Documentary, Short"
Festen (The Celebration),Thomas Vinterberg,"Thomas Vinterberg, Mogens Rukov",154420,3,1.0,2011,1990,R,91753,8.1,Drama
